key,IsWinner,MMR,InGameLevel,Takedowns,KillingBlows,Assists,Deaths,HighestKillStreak,HeroDamage,SiegeDamage,Healing,SelfHealing,DamageTaken,ExperienceContribution,MercCampCaptures,date
117483963,1,12068,100,81,20,61,21,32,196983,240452,58976,25054,133326,52126,13,7/14/2017
117483963,0,12424,100,90,21,69,21,50,230440,271434,72326,56110,78824,51083,5,7/14/2017
117363421,1,14501,105,134,33,101,10,96,196611,315541,134391,2088,0,61738,6,7/14/2017
117363421,0,14406,85,29,10,19,33,13,165125,228880,75185,0,0,35955,7,7/14/2017
118024724,1,10016,110,121,31,90,27,51,238232,213150,0,47951,87052,68868,18,7/14/2017
118024724,0,10519,110,106,27,79,31,45,200413,396933,0,65065,106037,75279,4,7/14/2017
117363742,1,10657,120,109,26,79,15,99,375793,354810,179063,59605,107250,83402,8,7/14/2017
117363742,0,11506,115,49,15,34,28,23,286104,459057,126997,21890,152698,79661,6,7/14/2017
117385820,1,11454,100,90,25,65,6,67,175246,291795,60852,20562,48524,59370,14,7/14/2017
117385820,0,11087,80,23,5,16,25,21,131631,242845,67526,27906,59273,32265,3,7/14/2017
117549100,1,7774,110,122,35,87,13,65,195126,379002,0,39429,91785,73592,17,7/14/2017
117549100,0,11046,100,50,13,37,36,19,145186,333647,0,49391,144282,51774,2,7/14/2017
117363478,1,8236,100,132,41,91,16,86,156970,183006,0,40282,151145,58429,13,7/14/2017
117363478,0,8784,90,54,15,38,41,18,179075,175938,0,31676,57966,41526,10,7/14/2017
117689356,1,14531,120,107,27,79,25,44,568752,576244,171761,69452,134901,90008,21,7/14/2017
117689356,0,13459,120,100,25,75,28,35,360340,676043,231408,83429,351003,78947,22,7/14/2017
117691549,1,6260,90,60,20,40,17,28,134349,245733,37151,36953,108513,46088,4,7/14/2017
117691549,0,6616,85,53,16,37,20,29,137223,184623,31754,18142,78763,39525,2,7/14/2017
118951757,1,11440,95,56,15,41,10,43,119289,237316,36673,32293,63735,52458,18,7/14/2017
118951757,0,11364,85,37,10,27,15,20,91703,278829,44656,13818,53269,43558,14,7/14/2017
122098468,1,8720,110,120,32,88,31,48,203183,365261,0,26322,68926,77189,9,7/14/2017
122098468,0,8138,105,106,31,75,34,33,176506,247422,0,31643,85500,56225,13,7/14/2017
117363454,1,11438,110,111,28,83,15,68,239946,358072,131646,24512,157004,64409,21,7/14/2017
117363454,0,11136,100,63,15,48,30,27,237269,288105,95355,24228,65866,47839,20,7/14/2017
117374082,1,10200,100,81,19,62,10,52,172556,281962,68017,10903,0,54924,17,7/14/2017
117374082,0,10194,90,42,9,33,19,20,122686,213541,90126,28214,0,44892,8,7/14/2017
117898490,1,7553,120,119,34,83,12,115,363944,567968,150344,25924,141596,95314,12,7/14/2017
117898490,0,8882,115,42,12,30,35,11,303583,582961,74901,71526,220517,80147,12,7/14/2017
117444261,1,8271,105,87,21,66,13,56,234559,388156,149181,80060,139786,61315,7,7/14/2017
117444261,0,7813,95,33,13,20,22,20,251198,321091,70259,43168,68799,47738,1,7/14/2017
117898404,1,11620,95,90,23,67,13,50,223256,230968,106081,36961,124648,48390,3,7/14/2017
117898404,0,11942,90,49,13,36,23,22,170668,221055,58448,30637,93407,39399,7,7/14/2017
117451707,1,10709,115,86,29,57,24,50,197429,358164,30084,38437,60244,81753,6,7/14/2017
117451707,0,11154,105,76,24,52,29,32,171409,244580,70420,14596,66303,62135,17,7/14/2017
117659111,1,10441,125,76,25,51,39,35,149828,559677,3620,45032,62057,101595,23,7/14/2017
117659111,0,8784,120,108,39,69,25,42,192485,489341,0,47212,74355,93329,16,7/14/2017
117363591,1,11069,115,73,22,51,18,42,169454,359457,61090,35036,0,74032,27,7/14/2017
117363591,0,11487,115,62,17,44,22,47,208104,575444,91621,30422,0,75050,5,7/14/2017
117363453,1,8152,125,106,27,77,33,38,327442,540758,0,44266,182467,101140,24,7/14/2017
117363453,0,9819,120,104,32,70,29,44,272036,684865,30217,54629,225795,96151,9,7/14/2017
117363475,1,9037,120,81,29,52,25,27,232443,366084,96331,10776,0,88429,26,7/14/2017
117363475,0,9101,115,78,25,53,29,35,191158,463135,87499,38730,0,83849,21,7/14/2017
117378985,1,12758,120,111,39,72,37,37,294163,268753,92972,57818,101999,84257,8,7/14/2017
117378985,0,12797,115,116,37,79,39,35,309148,311347,85565,68529,133484,68837,8,7/14/2017
121946386,1,12651,85,72,19,53,9,40,118320,223718,52848,42147,112034,42712,13,7/14/2017
121946386,0,12257,70,34,9,25,19,20,150253,163952,36609,14812,99139,26696,4,7/14/2017
117806699,1,10851,105,68,18,50,14,38,171564,256144,99005,32341,75360,65873,12,7/14/2017
117806699,0,11047,100,49,12,37,18,24,190155,312295,80371,7685,0,57529,9,7/14/2017
117856351,1,10800,100,54,13,41,19,22,185678,279685,83778,25672,42942,49134,39,7/14/2017
117856351,0,10759,95,79,19,60,13,53,147936,274611,126128,27840,124552,45105,9,7/14/2017
117363468,1,10011,125,157,46,111,34,50,243083,353846,0,89947,92078,100943,17,7/14/2017
117363468,0,10487,120,105,33,72,48,39,300969,513772,0,30403,98957,92575,10,7/14/2017
117465778,1,11092,110,121,28,93,13,65,271226,336636,153679,28278,197490,66893,5,7/14/2017
117465778,0,11755,100,42,13,29,28,17,232513,239538,114648,32883,109547,49394,2,7/14/2017
122384650,1,11833,105,155,37,118,14,95,264275,296023,101472,0,74864,60393,17,7/14/2017
122384650,0,11867,95,50,13,37,37,17,151846,211462,77073,47161,156091,42427,13,7/14/2017
117363444,1,10168,80,119,24,95,1,117,185253,199880,72651,7651,45863,37119,12,7/14/2017
117363444,0,10449,60,4,1,3,24,3,93633,107911,47220,17262,137123,17814,13,7/14/2017
117428522,1,10963,110,94,26,68,21,50,173180,448823,91410,12565,0,72920,9,7/14/2017
117428522,0,11610,100,73,21,52,26,32,175239,425739,53162,6631,0,55368,4,7/14/2017
117595911,1,14103,115,109,30,79,31,46,274796,394606,96535,57861,114834,77989,8,7/14/2017
117595911,0,13650,110,96,31,65,30,36,255226,468041,78350,60580,102243,73087,6,7/14/2017
120024183,1,11418,100,97,27,70,11,74,193321,233726,104629,20679,60023,55017,9,7/14/2017
120024183,0,11697,90,38,11,27,28,19,160481,255552,65009,25513,75679,43269,5,7/14/2017
117363462,1,12693,120,144,33,111,25,66,282722,545279,101367,90284,163479,97357,20,7/14/2017
117363462,0,12377,115,94,24,70,33,37,326670,534861,95674,104716,148763,76790,9,7/14/2017
117363513,1,9255,100,90,22,66,2,77,210209,350657,104303,69296,65055,56039,6,7/14/2017
117363513,0,9060,85,8,2,6,24,5,164504,208884,49523,37934,146145,37239,2,7/14/2017
117363470,1,11418,85,78,23,55,13,55,158298,175133,101817,19661,0,43715,6,7/14/2017
117363470,0,12227,70,52,13,39,23,21,141525,156066,58882,13625,0,31147,0,7/14/2017
117382405,1,12513,100,90,29,61,17,44,192521,282070,142,16009,41554,49429,4,7/14/2017
117382405,0,12184,100,54,17,37,29,22,150658,311463,0,30671,76408,47718,0,7/14/2017
117363524,1,12215,115,111,33,78,19,51,294216,433198,109059,11006,0,81333,16,7/14/2017
117363524,0,12115,110,58,19,39,33,22,226888,405742,170922,17389,0,71129,7,7/14/2017
117363760,1,11948,95,55,19,36,6,47,107197,344321,29336,30978,87841,50904,9,7/14/2017
117363760,0,12593,75,18,6,12,19,11,96228,135726,27585,4400,43635,28760,5,7/14/2017
119332293,1,9299,105,70,21,49,16,41,129702,279887,0,22565,0,66966,15,7/14/2017
119332293,0,10083,95,41,15,26,21,24,93605,212835,10481,6902,0,50859,8,7/14/2017
117530650,1,12275,105,97,27,70,20,43,258617,258000,73012,24888,142110,60252,4,7/14/2017
117530650,0,12955,95,61,18,43,27,28,226171,188276,114981,6659,71646,49731,3,7/14/2017
117694948,1,10023,115,114,33,79,24,51,205548,402269,51787,9520,0,77630,3,7/14/2017
117694948,0,9310,110,62,23,39,35,23,162001,354987,32180,12013,0,67886,7,7/14/2017
117401242,1,10611,105,126,36,90,9,74,165056,225361,66397,20607,0,66116,20,7/14/2017
117401242,0,11254,90,30,9,21,37,12,104370,243317,52977,1951,0,45079,4,7/14/2017
117489867,1,12300,110,111,30,81,15,76,182319,304481,70123,16236,0,68033,14,7/14/2017
117489867,0,11225,105,52,15,37,30,25,183786,302010,21286,11877,0,58793,4,7/14/2017
119363916,1,10793,110,82,20,62,21,48,213782,280871,97338,37353,167342,71301,28,7/14/2017
119363916,0,10755,110,83,21,62,20,52,236073,266965,114265,31789,144349,67042,22,7/14/2017
119263981,1,9235,95,75,19,56,13,39,112494,307527,45463,4667,0,52240,14,7/14/2017
119263981,0,9080,85,37,10,24,19,34,100868,202695,36420,10983,0,40888,6,7/14/2017
117363519,1,10313,105,119,35,84,12,67,153299,261442,85507,41203,44142,67521,11,7/14/2017
117363519,0,8851,95,39,11,28,35,19,136893,228868,57886,12271,0,47680,7,7/14/2017
117813609,1,12708,90,40,12,28,14,21,175465,286504,101057,49168,126652,46280,10,7/14/2017
117813609,0,12386,90,53,13,40,12,35,189822,250752,66122,34818,67734,45650,1,7/14/2017
117363508,1,12889,120,87,25,62,21,40,320356,468067,111589,57944,108717,99393,8,7/14/2017
117363508,0,11123,115,66,20,46,25,34,224643,428172,179332,44668,122349,75400,5,7/14/2017
117477459,1,13495,105,106,30,75,16,50,221861,290909,68986,57135,68298,58570,8,7/14/2017
117477459,0,12716,95,63,16,47,31,26,192596,189467,58578,51361,130981,44305,26,7/14/2017
121310547,1,9154,110,73,20,53,34,27,222008,401156,58506,61850,81639,69933,12,7/14/2017
121310547,0,9069,115,117,33,84,20,48,210331,404143,54810,26656,104649,76923,12,7/14/2017
117363527,1,11447,105,79,18,61,4,65,139921,392325,86096,9038,0,60137,18,7/14/2017
117363527,0,11761,90,17,4,13,18,12,133118,352332,53327,6542,0,40821,4,7/14/2017
117973007,1,10010,120,132,35,97,25,54,295979,475047,129671,25906,169006,89412,11,7/14/2017
117973007,0,11137,115,80,25,55,35,25,269499,338525,65684,71570,212725,78372,21,7/14/2017
117588633,1,10748,100,150,39,111,11,120,186004,185301,61869,11067,81636,46459,15,7/14/2017
117588633,0,10434,85,38,11,27,39,20,161070,143485,25071,24808,62074,30204,5,7/14/2017
117937817,1,11019,95,78,22,56,14,49,164745,227748,19172,18651,124339,46742,14,7/14/2017
117937817,0,11377,85,43,13,30,22,23,149494,291082,41956,30586,105824,34286,15,7/14/2017
122350855,1,10091,130,198,53,145,31,55,386725,506236,43737,104350,230028,120938,12,7/14/2017
122350855,0,9993,125,115,29,85,53,42,326423,684221,31999,59141,251053,98569,6,7/14/2017
117363534,1,9818,110,67,23,44,18,33,233628,463408,76176,37464,97752,72389,6,7/14/2017
117363534,0,10475,100,64,17,47,23,32,187962,306086,79483,33753,147819,51616,1,7/14/2017
117363523,1,12338,105,66,18,46,22,48,199819,272128,83885,26374,0,54760,4,7/14/2017
117363523,0,13261,105,65,22,43,19,37,190416,292903,83869,29938,0,55758,7,7/14/2017
117363537,1,9340,100,68,18,50,19,36,225528,236549,91840,40091,137875,46974,0,7/14/2017
117363537,0,10317,100,72,19,53,18,48,225931,215342,77185,38127,152314,46254,5,7/14/2017
117363564,1,11433,95,76,26,50,10,53,172000,353791,33481,73519,72407,53305,8,7/14/2017
117363564,0,10946,80,25,10,15,26,18,165400,179559,28993,32505,115561,36189,0,7/14/2017
117521731,1,12793,110,98,25,73,18,49,174123,374880,89356,39749,74908,73505,14,7/14/2017
117521731,0,13291,100,64,17,47,25,37,179625,327597,62608,22510,55175,55341,8,7/14/2017
120170508,1,13319,105,90,25,65,27,38,190440,271932,104803,7600,0,62952,10,7/14/2017
120170508,0,13114,100,96,27,69,25,39,197944,321783,97626,1591,0,55155,17,7/14/2017
120799558,1,10014,125,80,26,54,19,49,316300,768223,136470,43467,100771,99257,11,7/14/2017
120799558,0,11104,125,68,17,50,27,53,348254,767864,162167,18231,135941,102891,12,7/14/2017
117376983,1,8142,120,106,39,67,29,37,346677,403191,14898,43699,103754,92148,16,7/14/2017
117376983,0,8453,120,79,28,51,39,21,222012,474108,49841,48367,145349,82529,13,7/14/2017
117363539,1,11477,105,106,22,84,11,61,230848,432193,118744,41566,264987,64980,5,7/14/2017
117363539,0,11408,100,44,11,33,22,27,259965,340476,92736,19581,82017,49789,3,7/14/2017
118140229,1,13537,105,48,15,33,31,18,157152,326879,39865,30451,55965,62962,9,7/14/2017
118140229,0,12840,100,120,31,89,15,71,178693,298057,70890,37545,86409,58729,7,7/14/2017
120206531,1,7873,130,206,67,137,48,51,395762,410431,4503,82873,114947,129412,16,7/14/2017
120206531,0,9155,125,129,47,82,68,25,343585,398267,12474,57165,134585,113157,12,7/14/2017
117386574,1,11427,105,50,17,33,15,28,173940,443888,0,20608,58156,65141,14,7/14/2017
117386574,0,11214,95,41,15,26,17,21,120944,307628,20522,38050,111347,51454,6,7/14/2017
117398531,1,12337,110,65,20,45,3,52,227303,483592,100914,24583,85695,73413,16,7/14/2017
117398531,0,10807,100,11,3,8,20,8,151213,383208,85769,39371,177629,48170,1,7/14/2017
117918107,1,10859,105,75,22,53,16,35,174607,386880,51331,24098,0,60471,8,7/14/2017
117918107,0,11608,100,49,15,34,22,27,161171,268349,73695,36299,0,50813,13,7/14/2017
117972906,1,10034,105,55,15,40,5,43,223624,427972,76666,51054,108471,62674,20,7/14/2017
117972906,0,10389,95,17,4,13,15,12,170389,350191,117153,58948,150332,46016,15,7/14/2017
117363653,1,8953,110,129,34,95,9,145,241416,268229,91078,21183,58666,71846,15,7/14/2017
117363653,0,9331,95,32,9,23,34,16,153512,242898,46538,59212,77067,48481,5,7/14/2017
117466597,1,10871,105,148,33,115,13,88,340484,197019,237590,31673,128953,61341,4,7/14/2017
117466597,0,11013,95,53,13,40,33,25,332396,212458,144805,29853,245324,40661,2,7/14/2017
117865772,1,10904,80,97,23,74,7,63,111605,131558,97561,14351,53651,40581,8,7/14/2017
117865772,0,11183,65,21,7,14,23,8,119000,151980,26670,7859,45586,24868,4,7/14/2017
120525465,1,10587,105,90,24,66,9,61,162235,396681,50707,27478,0,61229,8,7/14/2017
120525465,0,10821,95,21,9,12,24,14,91956,274556,43489,12524,0,46437,8,7/14/2017
117441862,1,13474,100,83,20,63,8,65,222104,256870,124014,38474,136887,65741,5,7/14/2017
117441862,0,12578,85,36,8,28,20,24,209172,187021,73132,18063,84782,39769,2,7/14/2017
117500187,1,10929,85,116,32,84,2,108,175711,170390,42343,18276,66814,37152,1,7/14/2017
117500187,0,11130,70,7,2,5,32,4,97292,116720,47422,12030,59882,21091,7,7/14/2017
117371965,1,13526,95,93,27,66,9,66,139782,282653,78462,27804,122605,50767,11,7/14/2017
117371965,0,13320,85,27,9,18,27,16,155425,256150,31373,13661,53819,39956,1,7/14/2017
117363593,1,9812,95,112,26,86,7,80,190156,308512,91346,23184,70328,51686,5,7/14/2017
117363593,0,10524,80,25,7,18,26,9,193833,247046,69536,16990,60429,34118,0,7/14/2017
117976242,1,10687,115,112,35,77,25,41,278985,422596,56014,15317,57911,79929,17,7/14/2017
117976242,0,11292,110,82,24,58,35,28,195679,330108,20700,100000,162089,65851,21,7/14/2017
118514178,1,12617,100,69,16,53,9,46,191146,203546,84554,36895,104658,53222,24,7/14/2017
118514178,0,12258,85,32,9,23,16,18,157407,202984,107036,41150,169110,36349,0,7/14/2017
117399581,1,8548,95,60,21,39,13,40,102966,262139,47507,736,0,47756,6,7/14/2017
117399581,0,9632,80,35,12,23,24,17,108058,306127,21294,28939,0,34313,5,7/14/2017
117367834,1,11144,95,64,15,49,20,51,179191,356694,93074,27828,87711,48331,17,7/14/2017
